,Repository_Name,Repository_Language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dmel,Python
28,dmel-demo,HTML
29,dnikit,Python
30,eidas,Go
31,embedding-atlas,TypeScript
32,example-package-fisheryates,Swift
33,FHIRModels,Swift
34,foundationdb,C++
35,fstools,C
36,game-center-tools,Python
37,GCGC,Jupyter Notebook
38,homebrew-apple,Ruby
39,HomeKitADK,C
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,llvm-monorepo-root,
43,llvm-project-v5,C++
44,llvm-project-v5-split,C++
45,ml-4m,Python
46,ml-acn-embed,Python
47,ml-act,Python
48,ml-ademamix,Python
49,ml-afv,Python
50,ml-agm,Python
51,ml-aim,Python
52,ml-all-pairs,Python
53,ml-ane-transformers,Python
54,ml-aspanformer,Python
55,ml-aura,Python
56,ml-autofocusformer,Python
57,ml-autofocusformer-segmentation,Python
58,ml-batchquant,Python
59,ml-behavioral-testing-for-mt,
60,ml-bilevel-train-dist,Python
61,ml-bloop,Python
62,ml-calibration,Jupyter Notebook
63,ml-capsules-inverted-attention-routing,Python
64,ml-cifar-10-faster,Python
65,ml-code-switched-speech-translation,Python
66,ml-codeswitching-translations,
67,ml-collegial-ensembles,Python
68,ml-comotion,Python
69,ml-compress-and-compare,Python
70,ml-core,Python
71,ml-covid-mobility,R
72,ml-cread,Python
73,ml-cross-entropy,Python
74,ml-cubifyanything,Python
75,ml-cvnets,Python
76,ml-cvpr2019-swd,Python
77,ml-dab,Python
78,ml-data-parameters,Python
79,ml-dataset-decomposition,Python
80,ml-delphi,
81,ml-depth-pro,Python
82,ml-destseg,Python
83,ml-diffusion-alignment-gflownet,Python
84,ml-direct2.5,Python
85,ml-divide-or-conquer,Python
86,ml-dms-dataset,Python
87,ml-dprecs,Jupyter Notebook
88,ml-dr,Python
89,ml-duet,Python
90,ml-entity-deduction-arena,Python
91,ml-entropy-reconstruction,Python
92,ml-envmapnet,Python
93,ml-equivariant-neural-rendering,Jupyter Notebook
94,ml-facelit,Python
95,ml-famae,Python
96,ml-fastvit,Python
97,ml-fastvlm,Python
98,ml-fct,Python
99,ml-ferret,Python
100,ml-finerecon,Python
101,ml-flair,Jupyter Notebook
102,ml-flextok,Jupyter Notebook
103,ml-gaudi,
104,ml-gbc,Python
105,ml-gendered-translation,Ruby
106,ml-gmpi,Python
107,ml-gsm-symbolic,
108,ml-gsn,Python
109,ml-hd-gist,Python
110,ml-heart-rate-models,Python
111,ml-hierarchical-confusion-matrix,TypeScript
112,ml-hugs,Python
113,ml-hypercloning,Python
114,ml-hypersim,Python
115,ml-interactive-data-augmentation,Svelte
116,ml-internal-llms-instruction-following,Python
117,ml-interspeech2022-phi_rtn,
118,ml-isqoe,Python
119,ml-jointnet,Python
120,ml-key-retrieval-code-tasks,Python
121,ml-keyframer,JavaScript
122,ml-kg-mt,Python
123,ml-kge,Python
124,ml-knowledge-conflicts,Python
125,ml-kpconvx,Python
126,ml-live-pose,
127,ml-llarp,Python
128,ml-lucid-datagen,Python
129,ml-mad-bench,Jupyter Notebook
130,ml-matrix3d,Python
131,ml-mcf,Python
132,ml-mdm,Python
133,ml-mgie,Python
134,ml-mia-bench,Jupyter Notebook
135,ml-MixupMP,Python
136,ml-mkqa,Python
137,ml-mobileclip,Python
138,ml-mobileone,Swift
139,ml-mofi,Python
140,ml-multiple-futures-prediction,Python
141,ml-mycelium,JavaScript
142,ml-ncg,Python
143,ml-negative-sampling,Python
144,ml-neilf,Python
145,ml-neilfpp,Python
146,ml-neuman,Python
147,ml-no-token-left-behind,Jupyter Notebook
148,ml-np-rasp,Python
149,ml-nvas3d,Python
150,ml-ogen,Python
151,ml-pgdvs,Python
152,ml-planner,Python
153,ml-pointconvformer,Python
154,ml-pointersect,Python
155,ml-probabilistic-attention,Python
156,ml-projunit,Python
157,ml-qrecc,Python
158,ml-quant,Python
159,ml-recurrent-drafter,Python
160,ml-reed,Python
161,ml-reversal-blessing,Python
162,ml-rlgrad,Python
163,ml-robust-expert-augmentations,Python
164,ml-rpm-bench,Python
165,ml-sad,Python
166,ml-sage-dialog-gen,Python
167,ml-sampleplan,Python
168,ml-selfcond,Python
169,ml-shuffling-amplification,Python
170,ml-sigma-reparam,Python
171,ml-sigmoid-attention,Python
172,ml-slowfast-llava,Python
173,ml-space-benchmark,Python
174,ml-spatial-librispeech,
175,ml-speech-is-more-than-words,
176,ml-spin,Python
177,ml-stable-diffusion,Python
178,ml-stabledreamer,
179,ml-stuttering-events-dataset,Python
180,ml-superposition-prompting,Python
181,ml-symphony,Svelte
182,ml-tarflow,Python
183,ml-tic-clip,Python
184,ml-tic-lm,Python
185,ml-toad,Python
186,ml-tract,Python
187,ml-transcript-translation-consistency-ratings,
188,ml-translate-vis,TypeScript
189,ml-tree-dst,Python
190,ml-tune-mode-convbn,Python
191,ml-tweak,Python
192,ml-ui-jepa,Python
193,ml-uncertainty-llms-instruction-following,Python
194,ml-upscale,Jupyter Notebook
195,ml-uwac,Python
196,ml-veclip,Jupyter Notebook
197,ml-vfi-smiff,Python
198,ml-vfm-kt,
199,ml-vision-transformers-ane,Python
200,ml-vivid,Python
201,music-feed-examples,Java
202,openjdk,Java
203,parameterized-transforms,Python
204,password-manager-resources,JavaScript
205,pfl-research,Jupyter Notebook
206,pir-service-example,Swift
207,pkl,Java
208,pkl-evolution,
209,pkl-go,Go
210,pkl-go-examples,Go
211,pkl-intellij,Kotlin
212,pkl-jvm-examples,Groovy
213,pkl-k8s,Pkl
214,pkl-k8s-examples,Pkl
215,pkl-lang.org,JavaScript
216,pkl-lsp,Kotlin
217,pkl-neovim,Lua
218,pkl-package-docs,Kotlin
219,pkl-pantry,Pkl
220,pkl-project-commons,Pkl
221,pkl-spring,Java
222,pkl-swift,Swift
223,pkl-swift-examples,Swift
224,pkl-vscode,TypeScript
225,pkl.tmbundle,Pkl
226,pytorch-speech-features,Python
227,rules_pkl,Starlark
228,sample-backyard-birds,Swift
229,sample-cloudkit-coredatasync,Swift
230,sample-cloudkit-encryption,Swift
231,sample-cloudkit-privatedb,Swift
232,sample-cloudkit-privatedb-sync,Swift
233,sample-cloudkit-queries,Swift
234,sample-cloudkit-sharing,Swift
235,sample-cloudkit-sync-engine,Swift
236,sample-cloudkit-tooling,JavaScript
237,sample-cloudkit-zonesharing,Swift
238,sample-fbounds-safety-adoption,HTML
239,sample-food-truck,Swift
240,security-pcc,Swift
241,servicetalk,Java
242,swift-3-api-guidelines-review,Swift
243,swift-algorithms,Swift
244,swift-argument-parser,Swift
245,swift-asn1,Swift
246,swift-async-algorithms,Swift
247,swift-async-dns-resolver,Swift
248,swift-atomics,Swift
249,swift-cassandra-client,Swift
250,swift-certificates,Swift
251,swift-clang,C++
252,swift-clang-tools-extra,C++
253,swift-cluster-membership,Swift
254,swift-collections,Swift
255,swift-collections-benchmark,Swift
256,swift-compiler-rt,C
257,swift-container-plugin,Swift
258,swift-crypto,Assembly
259,swift-distributed-actors,Swift
260,swift-distributed-tracing,Swift
261,swift-distributed-tracing-baggage-core,Swift
262,swift-distributed-tracing-extras,Swift
263,swift-evolution-staging,Swift
264,swift-homomorphic-encryption,Swift
265,swift-homomorphic-encryption-protobuf,
266,swift-http-structured-headers,Swift
267,swift-http-types,Swift
268,swift-internals,HTML
269,swift-issues,
270,swift-libcxx,C++
271,swift-llbuild2,Swift
272,swift-lldb,C++
273,swift-llvm,LLVM
274,swift-log,Swift
275,swift-metrics,Swift
276,swift-metrics-extras,Swift
277,swift-mmio,Swift
278,swift-nio,Swift
279,swift-nio-examples,Swift
280,swift-nio-extras,Swift
281,swift-nio-http2,Swift
282,swift-nio-imap,Swift
283,swift-nio-nghttp2-support,Swift
284,swift-nio-oblivious-http,Swift
285,swift-nio-ssh,Swift
286,swift-nio-ssl,Assembly
287,swift-nio-ssl-support,Swift
288,swift-nio-transport-services,Swift
289,swift-nio-zlib-support,Swift
290,swift-ntp,Swift
291,swift-numerics,Swift
292,swift-openapi-generator,Swift
293,swift-openapi-runtime,Swift
294,swift-openapi-urlsession,Swift
295,swift-play-experimental,Swift
296,swift-protobuf,Swift
297,swift-protobuf-plugin,
298,swift-protobuf-test-conformance,
299,swift-sample-distributed-actors-transport,Swift
300,swift-service-context,Swift
301,swift-service-discovery,Swift
302,swift-standard-library-preview,Swift
303,swift-statsd-client,Swift
304,swift-string-processing-benchmarks,Swift
305,swift-system,Swift
306,swift-tools-support-async,Swift
307,swift-xcode-playground-support,Swift
308,swiftpm-on-llbuild2,Swift
309,tensor-visualizer,Svelte
310,tensorflow_macos,Shell
311,ToolSandbox,Python
312,tree-sitter-pkl,Kotlin
313,turicreate,C++
314,unityplugins,C#
315,VideoFlashingReduction,Mathematica
316,visatronic-demo,HTML
317,vqg-multimodal-assistant,Python
